id,card_number,card_name,card_alt,カードタイプ,タグ,レアリティ,色,HP,LIFE,Bloomレベル,バトンタッチ,収録商品,能力テキスト,arts,oshi_skill,sp_oshi_skill,keyword,extra,gift,illustrator,image_url,local_images,release_date
11,hSD01-011,AZKi,AZKi,ホロメン,#JP #0期生 #歌,RR,緑,190,,2nd,◇/◇,スタートデッキ「ときのそら＆AZKi」,,[緑+青+50]SorAZ グラビティ　60 | [緑+緑+◇+青+50]デスティニーソング　100+,,,,,,I☆LA,/wp-content/images/cardlist/hSD01/hSD01-011_RR.png,hSD01-011_P.png;hSD01-011_RR.png,
12,hSD01-012,アイラニ・イオフィフティーン,アイラニ・イオフィフティーン,ホロメン,#ID #ID1期生 #絵,C,緑,70,,Debut,◇,スタートデッキ「ときのそら＆AZKi」,,[緑]お絵かきたのしー！　20,,,"一緒にお絵かき！
自分のアーカイブの[白エールか緑エール]１枚を自分のセンターホロメンに送れる。",,,,/wp-content/images/cardlist/hSD01/hSD01-012_C.png,hSD01-012_C.png;hSD01-012_P.png,
13,hSD01-013,SorAZ,SorAZ,ホロメン,#JP #0期生 #歌,R,白緑,130,,1st,◇,スタートデッキ「ときのそら＆AZKi」,,[◇+◇]越えたい未来　50,,,,このホロメンは〈ときのそら〉〈AZKi〉としても扱う,,© 2023 Victor Entertainment.,/wp-content/images/cardlist/hSD01/hSD01-013_R.png,hSD01-013_P.png;hSD01-013_R.png,
14,hSD01-014,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,U,◇,150,,Spot,◇,スタートデッキ「ときのそら＆AZKi」,,[白+緑]へい　30,,,,このホロメンはBloomできない,,,/wp-content/images/cardlist/hSD01/hSD01-014_U.png,hSD01-014_U.png,
15,hSD01-015,博衣こより,博衣こより,ホロメン,#JP #秘密結社holoX #ケモミミ,U,◇,50,,Spot,◇,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|スタートデッキ「ときのそら＆AZKi」,,[◇]ピュアピュアピュア～　10,,,"SoAzKo
■〈ときのそら〉とコラボした時、自分のデッキを１枚引く。
■〈AZKi〉とコラボした時、自分のエールデッキの上から１枚を、自分のセンターホロメンに送る。",このホロメンはBloomできない,,,/wp-content/images/cardlist/hSD01/hSD01-015_U.png,hSD01-015_U.png,
16,hSD01-016,春先のどか,春先のどか,サポート・スタッフ・LIMITED,,C,,,,,,ブースターパック「ブルーミングレディアンス」|スタートデッキ「ときのそら＆AZKi」|スタートデッキ 赤 百鬼あやめ|スタートデッキ 青 猫又おかゆ|スタートデッキ 紫 癒月ちょこ|スタートデッキ 白 轟はじめ|スタートデッキ 緑 風真いろは|スタートデッキ 黄 不知火フレア|スタートデッキ FLOW GLOW 推し 輪堂千速|スタートデッキ FLOW GLOW 推し 虎金妃笑虎|スタートデッキ 推し Advent|スタートデッキ 推し Justice,"自分のデッキを３枚引く。
LIMITED：ターンに１枚しか使えない。",,,,,,,Yoshimo,/wp-content/images/cardlist/hSD01/hSD01-016_C.png,hSD01-016_02_C.png;hSD01-016_C.png;hSD01-016_P.png;hSD01-016_P_02.png,
17,hSD01-017,マネちゃん,マネちゃん,サポート・スタッフ・LIMITED,,C,,,,,,スタートデッキ「ときのそら＆AZKi」|スタートデッキ 赤 百鬼あやめ|スタートデッキ 青 猫又おかゆ|スタートデッキ 紫 癒月ちょこ|スタートデッキ 白 轟はじめ|スタートデッキ 緑 風真いろは|スタートデッキ 黄 不知火フレア|スタートデッキ 白 天音かなた|スタートデッキ 赤 宝鐘マリン|スタートデッキ FLOW GLOW 推し 輪堂千速|スタートデッキ FLOW GLOW 推し 虎金妃笑虎,"このカードは、自分の手札がこのカードを含まずに１枚以上なければ使えない。
自分の手札すべてをデッキに戻してシャッフルする。そして自分のデッキを５枚引く。
LIMITED：ターンに１枚しか使えない。",,,,,,,株式会社HIKE / Trigono,/wp-content/images/cardlist/hSD01/hSD01-017_C.png,hSD01-017_02_C.png;hSD01-017_02_S.png;hSD01-017_C.png;hSD01-017_P.png,
18,hSD01-018,サブパソコン,サブパソコン,サポート・アイテム,,C,,,,,,スタートデッキ「ときのそら＆AZKi」|スタートデッキ 赤 百鬼あやめ|スタートデッキ 黄 不知火フレア,自分のデッキの上から５枚を見る。その中から、LIMITEDのサポートカード１枚を公開し、手札に加える。そして残ったカードを好きな順でデッキの下に戻す。,,,,,,,JinArt こばやかわやまと,/wp-content/images/cardlist/hSD01/hSD01-018_C.png,hSD01-018_C.png;hSD01-018_P.png;hSD01-018_SR.png,
19,hSD01-019,スゴイパソコン,スゴイパソコン,サポート・アイテム・LIMITED,,C,,,,,,ブースターパック「ブルーミングレディアンス」|スタートデッキ「ときのそら＆AZKi」|スタートデッキ 青 猫又おかゆ|スタートデッキ 紫 癒月ちょこ|スタートデッキ FLOW GLOW 推し 虎金妃笑虎|スタートデッキ 推し Justice,"このカードは、自分のステージのエール1枚をアーカイブしなければ使えない。
自分のデッキから、Buzz以外の[1stホロメンか2ndホロメン]１枚を公開し、手札に加える。そしてデッキをシャッフルする。
LIMITED：ターンに1枚しか使えない。",,,,,,,JinArt KABAKURA,/wp-content/images/cardlist/hSD01/hSD01-019_C_02.png,hSD01-019_C_02.png;hSD01-019_SR.png,
20,hSD01-020,ホロリスの輪,ホロリスの輪,サポート・イベント,,C,,,,,,ブースターパック「ブルーミングレディアンス」|スタートデッキ「ときのそら＆AZKi」,サイコロを１回振る：３以上の時、自分のアーカイブのエール１枚を自分のホロメンに送る。,,,,,,,JinArt KABAKURA,/wp-content/images/cardlist/hSD01/hSD01-020_C.png,hSD01-020_C.png,
21,hSD01-021,First Gravity,First Gravity,サポート・イベント・LIMITED,,C,,,,,,スタートデッキ「ときのそら＆AZKi」,"このカードは、自分の手札がこのカードを含まずに６枚以下でなければ使えない。
自分のデッキの上から４枚を見る。その中から、〈ときのそら〉と〈AZKi〉を好きな枚数公開し、公開したホロメンを手札に加える。そして残ったカードを好きな順でデッキの下に戻す。
LIMITED：ターンに１枚しか使えない。",,,,,,,© 2023 Victor Entertainment. © 2016 COVER Corp.,/wp-content/images/cardlist/hSD01/hSD01-021_C.png,hSD01-021_C.png,
22,hBP01-001,天音かなた,天音かなた,推しホロメン,,OSR,白,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-3] ぎゅっぎゅっ [ターンに１回]相手のセンターホロメンの残りHPを50にする。,[ホロパワー：-2] 握りつぶしちゃうぞ [ゲームに１回]このターンの間、自分のホロメン１人のアーツ+50。そのホロメンの色が白の時、さらに、そのアーツ+50。,,,,Hiroko,/wp-content/images/cardlist/hBP01/hBP01-001_OSR.png,hBP01-001_OSR.png;hBP01-001_OUR.png,
23,hBP01-001,天音かなた,天音かなた,推しホロメン,,OUR,白,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-3] ぎゅっぎゅっ [ターンに１回]相手のセンターホロメンの残りHPを50にする。,[ホロパワー：-2] 握りつぶしちゃうぞ [ゲームに１回]このターンの間、自分のホロメン１人のアーツ+50。そのホロメンの色が白の時、さらに、そのアーツ+50。,,,,Hiroko,/wp-content/images/cardlist/hBP01/hBP01-001_OUR.png,hBP01-001_OSR.png;hBP01-001_OUR.png,
24,hBP01-002,七詩ムメイ,七詩ムメイ,推しホロメン,,OSR,白,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] 文明の守護者 [ターンに１回]相手のターンで、自分の#Promiseを持つホロメンが相手からダメージを受ける時に使える：そのホロメン１人が受けるダメージ-50。,[ホロパワー：-2] アメイジング・ドローイング [ゲームに１回]自分のデッキから、イベント１枚を公開し、手札に加える。そしてデッキをシャッフルする。,,,,Hiroko,/wp-content/images/cardlist/hBP01/hBP01-002_OSR.png,hBP01-002_OSR.png;hBP01-002_OUR.png,
25,hBP01-002,七詩ムメイ,七詩ムメイ,推しホロメン,,OUR,白,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] 文明の守護者 [ターンに１回]相手のターンで、自分の#Promiseを持つホロメンが相手からダメージを受ける時に使える：そのホロメン１人が受けるダメージ-50。,[ホロパワー：-2] アメイジング・ドローイング [ゲームに１回]自分のデッキから、イベント１枚を公開し、手札に加える。そしてデッキをシャッフルする。,,,,Hiroko,/wp-content/images/cardlist/hBP01/hBP01-002_OUR.png,hBP01-002_OSR.png;hBP01-002_OUR.png,
26,hBP01-003,アキ・ローゼンタール,アキ・ローゼンタール,推しホロメン,,OSR,緑,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] サバイバルパワー [ターンに１回]自分のデッキから、〈石の斧〉１枚を公開し、自分の緑ホロメンに付ける。そしてデッキをシャッフルする。,[ホロパワー：-2] 大地の唄 [ゲームに１回]自分の緑センターホロメンのHPすべて回復。,,,,Hiroko,/wp-content/images/cardlist/hBP01/hBP01-003_OSR.png,hBP01-003_OSR.png;hBP01-003_OUR.png,
27,hBP01-003,アキ・ローゼンタール,アキ・ローゼンタール,推しホロメン,,OUR,緑,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] サバイバルパワー [ターンに１回]自分のデッキから、〈石の斧〉１枚を公開し、自分の緑ホロメンに付ける。そしてデッキをシャッフルする。,[ホロパワー：-2] 大地の唄 [ゲームに１回]自分の緑センターホロメンのHPすべて回復。,,,,Hiroko,/wp-content/images/cardlist/hBP01/hBP01-003_OUR.png,hBP01-003_OSR.png;hBP01-003_OUR.png,
28,hBP01-004,兎田ぺこら,兎田ぺこら,推しホロメン,,OSR,緑,,6,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] 野兎たち～ [ターンに１回]相手のターンで、自分のホロメンがダウンした時に使える：自分のダウンしたホロメン１人の緑エールすべてを、自分の他のホロメンに割り振って付け替える。,[ホロパワー：-3] 幸運兎 [ゲームに１回]このターンの間、自分のサイコロの目の数すべてを６として扱う。,,,,神奈ぺろん,/wp-content/images/cardlist/hBP01/hBP01-004_OSR.png,hBP01-004_OSR.png;hBP01-004_OUR.png;hBP01-004_P.png,
29,hBP01-004,兎田ぺこら,兎田ぺこら,推しホロメン,,OUR,緑,,6,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] 野兎たち～ [ターンに１回]相手のターンで、自分のホロメンがダウンした時に使える：自分のダウンしたホロメン１人の緑エールすべてを、自分の他のホロメンに割り振って付け替える。,[ホロパワー：-3] 幸運兎 [ゲームに１回]このターンの間、自分のサイコロの目の数すべてを６として扱う。,,,,神奈ぺろん,/wp-content/images/cardlist/hBP01/hBP01-004_OUR.png,hBP01-004_OSR.png;hBP01-004_OUR.png;hBP01-004_P.png,
30,hBP01-005,鷹嶺ルイ,鷹嶺ルイ,推しホロメン,,OSR,赤,,5,,,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-X] 女幹部の采配 [ターンに１回]自分の赤ホロメンの能力で手札をアーカイブする時に使える：アーカイブする手札1枚につき自分のホロパワー1枚を、かわりにアーカイブできる。,[ホロパワー：-2] ホークアイ [ゲームに１回]次の相手のターンの間、相手のセンターホロメンとコラボホロメンは、バトンタッチ、移動、交代できない。,,,,須王 彩,/wp-content/images/cardlist/hBP01/hBP01-005_OSR.png,hBP01-005_OSR.png;hBP01-005_OUR.png,
31,hBP01-005,鷹嶺ルイ,鷹嶺ルイ,推しホロメン,,OUR,赤,,5,,,【使用可能カード】エントリーカップ「アヤカシヴァーミリオン」|ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-X] 女幹部の采配 [ターンに１回]自分の赤ホロメンの能力で手札をアーカイブする時に使える：アーカイブする手札1枚につき自分のホロパワー1枚を、かわりにアーカイブできる。,[ホロパワー：-2] ホークアイ [ゲームに１回]次の相手のターンの間、相手のセンターホロメンとコラボホロメンは、バトンタッチ、移動、交代できない。,,,,須王 彩,/wp-content/images/cardlist/hBP01/hBP01-005_OUR.png,hBP01-005_OSR.png;hBP01-005_OUR.png,
32,hBP01-006,小鳥遊キアラ,小鳥遊キアラ,推しホロメン,,OSR,赤,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] フェニックステール [ターンに１回]自分のアーカイブのホロメン１枚を手札に戻す。,[ホロパワー：-2] Rise from the ashes [ゲームに１回]相手のターンで、自分の赤ホロメンがダウンした時に使える：自分の減るライフ-１。さらに、ダウンした１人を選び、そのホロメンを含め重なっているホロメンすべてを手札に戻す。,,,,水鈴,/wp-content/images/cardlist/hBP01/hBP01-006_OSR.png,hBP01-006_OSR.png;hBP01-006_OUR.png;hBP01-006_SEC.png,
33,hBP01-006,小鳥遊キアラ,小鳥遊キアラ,推しホロメン,,OUR,赤,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] フェニックステール [ターンに１回]自分のアーカイブのホロメン１枚を手札に戻す。,[ホロパワー：-2] Rise from the ashes [ゲームに１回]相手のターンで、自分の赤ホロメンがダウンした時に使える：自分の減るライフ-１。さらに、ダウンした１人を選び、そのホロメンを含め重なっているホロメンすべてを手札に戻す。,,,,水鈴,/wp-content/images/cardlist/hBP01/hBP01-006_OUR.png,hBP01-006_OSR.png;hBP01-006_OUR.png;hBP01-006_SEC.png,
34,hBP01-006,小鳥遊キアラ,小鳥遊キアラ,推しホロメン,,SEC,赤,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] フェニックステール [ターンに１回]自分のアーカイブのホロメン１枚を手札に戻す。,[ホロパワー：-2] Rise from the ashes [ゲームに１回]相手のターンで、自分の赤ホロメンがダウンした時に使える：自分の減るライフ-１。さらに、ダウンした１人を選び、そのホロメンを含め重なっているホロメンすべてを手札に戻す。,,,,水鈴,/wp-content/images/cardlist/hBP01/hBP01-006_SEC.png,hBP01-006_OSR.png;hBP01-006_OUR.png;hBP01-006_SEC.png,
35,hBP01-007,星街すいせい,星街すいせい,推しホロメン,,OSR,青,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] ほうき星 [ターンに１回]この推しホロメンか自分の青ホロメンが相手のバックホロメンにダメージを与えた時に使える：その相手のバックホロメン１人に特殊ダメージ50を与える。,[ホロパワー：-2] シューティングスター [ゲームに１回]自分の青ホロメンが相手のセンターホロメンかコラボホロメンにダメージを与えた時に使える：相手のバックホロメン１人にそれと同じ数値の特殊ダメージを与える。,,,,水鈴,/wp-content/images/cardlist/hBP01/hBP01-007_OSR.png,hBP01-007_OSR.png;hBP01-007_OUR.png;hBP01-007_P_01.png;hBP01-007_P_02.png;hBP01-007_P_03.png;hBP01-007_P_04.png;hBP01-007_SEC.png,
36,hBP01-007,星街すいせい,星街すいせい,推しホロメン,,OUR,青,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] ほうき星 [ターンに１回]この推しホロメンか自分の青ホロメンが相手のバックホロメンにダメージを与えた時に使える：その相手のバックホロメン１人に特殊ダメージ50を与える。,[ホロパワー：-2] シューティングスター [ゲームに１回]自分の青ホロメンが相手のセンターホロメンかコラボホロメンにダメージを与えた時に使える：相手のバックホロメン１人にそれと同じ数値の特殊ダメージを与える。,,,,水鈴,/wp-content/images/cardlist/hBP01/hBP01-007_OUR.png,hBP01-007_OSR.png;hBP01-007_OUR.png;hBP01-007_P_01.png;hBP01-007_P_02.png;hBP01-007_P_03.png;hBP01-007_P_04.png;hBP01-007_SEC.png,
37,hBP01-007,星街すいせい,星街すいせい,推しホロメン,,SEC,青,,5,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-2] ほうき星 [ターンに１回]この推しホロメンか自分の青ホロメンが相手のバックホロメンにダメージを与えた時に使える：その相手のバックホロメン１人に特殊ダメージ50を与える。,[ホロパワー：-2] シューティングスター [ゲームに１回]自分の青ホロメンが相手のセンターホロメンかコラボホロメンにダメージを与えた時に使える：相手のバックホロメン１人にそれと同じ数値の特殊ダメージを与える。,,,,水鈴,/wp-content/images/cardlist/hBP01/hBP01-007_SEC.png,hBP01-007_OSR.png;hBP01-007_OUR.png;hBP01-007_P_01.png;hBP01-007_P_02.png;hBP01-007_P_03.png;hBP01-007_P_04.png;hBP01-007_SEC.png,
38,hBP01-008,こぼ・かなえる,こぼ・かなえる,推しホロメン,,OSR,青,,6,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-1] レイン・シャーマニズム [ターンに１回]自分の青ホロメンの能力でエールをアーカイブした時に使える：相手のホロメン１人に特殊ダメージ20を与える。,[ホロパワー：-3] 雨乞い [ゲームに１回]自分のアーカイブのエール１～５枚を、自分の#IDを持つホロメンに割り振って送る。,,,,タスキブ,/wp-content/images/cardlist/hBP01/hBP01-008_OSR.png,hBP01-008_OSR.png;hBP01-008_OUR.png,
39,hBP01-008,こぼ・かなえる,こぼ・かなえる,推しホロメン,,OUR,青,,6,,,ブースターパック「ブルーミングレディアンス」,,,[ホロパワー：-1] レイン・シャーマニズム [ターンに１回]自分の青ホロメンの能力でエールをアーカイブした時に使える：相手のホロメン１人に特殊ダメージ20を与える。,[ホロパワー：-3] 雨乞い [ゲームに１回]自分のアーカイブのエール１～５枚を、自分の#IDを持つホロメンに割り振って送る。,,,,タスキブ,/wp-content/images/cardlist/hBP01/hBP01-008_OUR.png,hBP01-008_OSR.png;hBP01-008_OUR.png,
40,hBP01-009,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,C,白,90,,Debut,◇,ブースターパック「ブルーミングレディアンス」|スタートデッキ 白 天音かなた,,[白]こんかなた～　40,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hSD08/hBP01-009_C.png,hBP01-009_C.png;hBP01-009_P.png,
41,hBP01-010,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,U,白,60,,Debut,◇,ブースターパック「ブルーミングレディアンス」,,[◇]行ってきまーす　20,,,"お出かけ天使
このターンの間、自分のセンターホロメンのアーツ+10。自分のセンターホロメンが#４期生を持つ時、さらに、自分のセンターホロメンのアーツ+20。",,,さとうぽて,/wp-content/images/cardlist/hBP01/hBP01-010_U.png,hBP01-010_U.png,
42,hBP01-011,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,C,白,150,,1st,,ブースターパック「ブルーミングレディアンス」|スタートデッキ 白 天音かなた,,[白]塩対応かなたそ　20,,,,,,おしおしお,/wp-content/images/cardlist/hBP01/hBP01-011_C.png,hBP01-011_C.png,
43,hBP01-012,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,U,白,120,,1st,◇,ブースターパック「ブルーミングレディアンス」,,[◇]い～っぱい応援して！　40,,,"アイドルかなたそを
サイコロを１回振れる：３以下の時、自分のデッキから、マスコット１枚を公開し、自分のホロメンに付ける。そしてデッキをシャッフルする。",,,,/wp-content/images/cardlist/hBP01/hBP01-012_U.png,hBP01-012_P.png;hBP01-012_U.png,
44,hBP01-013,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,R,白,100,,1st,◇,ブースターパック「ブルーミングレディアンス」|スタートデッキ 白 天音かなた,,[白+◇]エンジェルステージ　50,,,"天使のお仕事
相手のセンターホロメンに特殊ダメージ30を与える（ダウンしても相手のライフは減らない）。",,,須王 彩,/wp-content/images/cardlist/hSD08/hBP01-013_R_02.png,hBP01-013_P_02.png;hBP01-013_P_03.png;hBP01-013_R_02.png,
45,hBP01-014,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,RR,白,200,,2nd,◇/◇,ブースターパック「ブルーミングレディアンス」,,[白+白+白+赤+50]♰漆黒の翼♰　100,,,"堕ちた天使
相手のセンターホロメンに特殊ダメージ50を与える。",,,須王 彩,/wp-content/images/cardlist/hBP01/hBP01-014_RR.png,hBP01-014_RR.png;hBP01-014_UR.png,
46,hBP01-014,天音かなた,天音かなた,ホロメン,#JP #4期生 #歌,UR,白,200,,2nd,◇/◇,ブースターパック「ブルーミングレディアンス」,,[白+白+白+赤+50]♰漆黒の翼♰　100,,,"堕ちた天使
相手のセンターホロメンに特殊ダメージ50を与える。",,,うなぽっぽ,/wp-content/images/cardlist/hBP01/hBP01-014_UR.png,hBP01-014_RR.png;hBP01-014_UR.png,
47,hBP01-015,七詩ムメイ,七詩ムメイ,ホロメン,#EN #Promise #トリ #絵,C,白,90,,Debut,◇,ブースターパック「ブルーミングレディアンス」,,"[白]Oh,Hi　10+",,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP01/hBP01-015_C.png,hBP01-015_C.png;hBP01-015_P.png,
48,hBP01-016,七詩ムメイ,七詩ムメイ,ホロメン,#EN #Promise #トリ #絵,U,白,60,,Debut,◇,ブースターパック「ブルーミングレディアンス」,,[◇]リラックスタイム　10,,,"白いキャンバス
自分のセンターホロメンが#Promiseを持つ時、自分のデッキを１枚引く。",,,,/wp-content/images/cardlist/hBP01/hBP01-016_U.png,hBP01-016_U.png,
49,hBP01-017,七詩ムメイ,七詩ムメイ,ホロメン,#EN #Promise #トリ #絵,C,白,130,,1st,◇,ブースターパック「ブルーミングレディアンス」,,[白]一緒にお出かけ　20 | [白+◇]コーヒーブレイク　60,,,,,,WERI,/wp-content/images/cardlist/hBP01/hBP01-017_C.png,hBP01-017_C.png,
50,hBP01-018,七詩ムメイ,七詩ムメイ,ホロメン,#EN #Promise #トリ #絵,C,白,120,,1st,◇,ブースターパック「ブルーミングレディアンス」,,[白]思い出の欠片　20+,,,,,,あずーる,/wp-content/images/cardlist/hBP01/hBP01-018_C.png,hBP01-018_C.png,
51,hBP01-019,七詩ムメイ,七詩ムメイ,ホロメン,#EN #Promise #トリ #絵,U,白,100,,1st,◇,ブースターパック「ブルーミングレディアンス」,,[◇]いつも応援してくれてありがとう！　30,,,"みんなと歌って踊りたい！
DebutからBloomした時、自分のデッキから、#Promiseを持つBuzz以外の[Debutホロメンか１stホロメン]１枚を公開し、手札に加える。そしてデッキをシャッフルする。",,,,/wp-content/images/cardlist/hBP01/hBP01-019_U.png,hBP01-019_P.png;hBP01-019_U.png,
52,hBP01-020,七詩ムメイ,七詩ムメイ,ホロメン,#EN #Promise #トリ #絵,R,白,190,,2nd,◇/◇,ブースターパック「ブルーミングレディアンス」,,[白+◇+◇+紫+50]みんな一緒に　70+,,,"あの日の約束
自分のデッキから、#Promiseを持つホロメン１枚を公開し、手札に加える。そしてデッキをシャッフルする。",,,高崎律,/wp-content/images/cardlist/hBP01/hBP01-020_R.png,hBP01-020_P.png;hBP01-020_R.png,
53,hBP01-021,ときのそら,ときのそら,ホロメン,#JP #0期生 #歌,C,白,100,,Debut,◇,ブースターパック「ブルーミングレディアンス」,,[白]みんな～こんそめ～　30,,,,このホロメンはデッキに何枚でも入れられる,,,/wp-content/images/cardlist/hBP01/hBP01-021_C.png,hBP01-021_C.png;hBP01-021_P.png,
54,hBP01-022,ときのそら,ときのそら,ホロメン,#JP #0期生 #歌,U,白,110,,1st,◇,ブースターパック「ブルーミングレディアンス」,,[◇]最高の一日にしようね♪　40,,,"楽しむ準備はできてる！？
自分のデッキを１枚引く。",,,,/wp-content/images/cardlist/hBP01/hBP01-022_U.png,hBP01-022_P.png;hBP01-022_U.png,
55,hBP01-023,ときのそら,ときのそら,ホロメン,#JP #0期生 #歌,RR,白,210,,2nd,◇/◇,ブースターパック「ブルーミングレディアンス」,,[白+白+◇+赤+50]止まらねえぞ　80,,,"私たちは前に向かって…！
自分のデッキを２枚引く。",,,タスキブ,/wp-content/images/cardlist/hBP01/hBP01-023_RR.png,hBP01-023_RR.png;hBP01-023_UR.png,
